Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Scott Drew,Baylor,Big 12,,28,8,0.778,,19.0,Lost Regional Final,,2003-04,109,103,0.514,2.0,1.0,,,,129,114,0.531,2.0,1.0,,
Matthew Driscoll,North Florida,A-Sun,,13,18,0.419,,,,,2009-10,13,18,0.419,,,,,,13,18,0.419,,,,
Terry Dunn,Dartmouth,Ivy,,3,10,0.231,,,,,2004-05,47,103,0.313,,,,,,47,103,0.313,,,,
John Dunne,Saint Peter's,MAAC,,16,14,0.533,,,,,2006-07,38,82,0.317,,,,,,38,82,0.317,,,,
Fran Dunphy,Temple,A-10,,29,6,0.829,,12.0,Lost First Round,,2006-07,84,49,0.632,3.0,,,,,394,212,0.65,12.0,,,
Orlando Early,Louisiana-Monroe,Sun Belt,,12,19,0.387,,,,,2005-06,60,92,0.395,,,,,,60,92,0.395,,,,
Kirk Earlywine,Eastern Washington,Big Sky,,9,21,0.3,,,,,2007-08,32,58,0.356,,,,,,32,58,0.356,,,,
Jerry Eaves,North Carolina A&T,MEAC,,11,22,0.333,,,,,2003-04,72,143,0.335,,,,,,72,143,0.335,,,,
Cliff Ellis,Coastal Carolina,Big South,,28,7,0.8,,,,,2007-08,52,42,0.553,,,,,,588,380,0.607,8.0,3.0,,
Jim Engles,NJIT,GWC,,10,21,0.323,,,,,2008-09,11,51,0.177,,,,,,11,51,0.177,,,,
Larry Eustachy,Southern Miss,CUSA,,20,14,0.588,,,,,2004-05,95,94,0.503,,,,,,355,239,0.598,3.0,1.0,,
Anthony Evans,Norfolk State,MEAC,,11,19,0.367,,,,,2007-08,40,52,0.435,,,,,,40,52,0.435,,,,
Ron Everhart,Duquesne,A-10,,16,16,0.5,,,,,2006-07,64,61,0.512,,,,,,238,233,0.505,,,,
Jim Ferry,Long Island University,NEC,,14,17,0.452,,,,,2002-03,98,134,0.422,,,,,,98,134,0.422,,,,
Mark Few,Gonzaga,WCC,,27,7,0.794,,22.0,Lost Second Round,,1999-00,291,73,0.799,11.0,4.0,,,,291,73,0.799,11.0,4.0,,
Dane Fife,Purdue Fort Wayne,Summit,,16,15,0.516,,,,,2005-06,64,85,0.43,,,,,,64,85,0.43,,,,
Steve Fisher *,San Diego State,MWC,,25,9,0.735,,,Lost First Round,,1999-00,198,149,0.571,3.0,,,,,383,230,0.625,10.0,4.0,3.0,1.0
Bruiser Flint,Drexel,CAA,,16,16,0.5,,,,,2001-02,149,124,0.546,,,,,,235,196,0.545,2.0,,,
Geno Ford,Kent State,MAC,,24,10,0.706,,,,,2008-09,43,25,0.632,,,,,,43,25,0.632,,,,
Travis Ford,Oklahoma State,Big 12,,22,11,0.667,,,Lost First Round,,2008-09,45,23,0.662,2.0,,,,,168,138,0.549,3.0,,,
Lennox Forrester,SIU Edwardsville,Ind,,5,23,0.179,,,,,2008-09,15,43,0.259,,,,,,15,43,0.259,,,,
Mark Fox,Georgia,SEC,,14,17,0.452,,,,,2009-10,14,17,0.452,,,,,,137,60,0.695,3.0,,,
Don Friday,Saint Francis (PA),NEC,,11,19,0.367,,,,,2008-09,17,42,0.288,,,,,,17,42,0.288,,,,
Greg Gary,Centenary (LA),Summit,,8,21,0.276,,,,,2008-09,16,44,0.267,,,,,,16,44,0.267,,,,
Dino Gaudio,Wake Forest,ACC,,20,11,0.645,,,Lost Second Round,,2007-08,61,31,0.663,2.0,,,,,129,155,0.454,2.0,,,
Tyler Geving,Portland State,Big Sky,,13,19,0.406,,,,,2009-10,13,19,0.406,,,,,,13,19,0.406,,,,
John Giannini,La Salle,A-10,,12,18,0.4,,,,,2004-05,83,97,0.461,,,,,,208,208,0.5,,,,
Mike Gillian,Longwood,Ind,,12,19,0.387,,,,,2004-05,58,127,0.314,,,,,,58,127,0.314,,,,
Bobby Gonzalez,Seton Hall,Big East,,19,13,0.594,,,,,2006-07,66,59,0.528,,,,,,195,136,0.589,2.0,,,
Max Good,Loyola Marymount,WCC,,18,16,0.529,,,,,2008-09,21,41,0.339,,,,,,130,179,0.421,,,,
Greg Graham,Boise State,WAC,,15,17,0.469,,,,,2002-03,142,112,0.559,1.0,,,,,142,112,0.559,1.0,,,
Anthony Grant,Alabama,SEC,,17,15,0.531,,,,,2009-10,17,15,0.531,,,,,,93,40,0.699,2.0,,,
Jared Grasso,Fordham,A-10,,1,22,0.043,,,,,2009-10,1,22,0.043,,,,,,1,22,0.043,,,,
Mark Graupe,Dartmouth,Ivy,,2,13,0.133,,,,,2009-10,2,13,0.133,,,,,,2,13,0.133,,,,
James Green,Jacksonville State,OVC,,11,19,0.367,,,,,2008-09,22,36,0.379,,,,,,189,198,0.488,1.0,,,
Brad Greenberg,Radford,Big South,,19,12,0.613,,,,,2007-08,50,44,0.532,1.0,,,,,50,44,0.532,1.0,,,
Seth Greenberg,Virginia Tech,ACC,,25,9,0.735,,,,,2003-04,132,94,0.584,1.0,,,,,345,264,0.567,3.0,,,
Brian Gregory,Dayton,A-10,,25,12,0.676,21.0,,,,2003-04,150,80,0.652,2.0,,,,,150,80,0.652,2.0,,,
Bill Grier,San Diego,WCC,,11,21,0.344,,,,,2007-08,49,51,0.49,1.0,,,,,49,51,0.49,1.0,,,
John Groce,Ohio,MAC,,22,15,0.595,,,Lost Second Round,,2008-09,37,32,0.536,1.0,,,,,37,32,0.536,1.0,,,
Frank Haith,Miami (FL),ACC,,20,13,0.606,,,,,2004-05,108,86,0.557,1.0,,,,,108,86,0.557,1.0,,,
Leonard Hamilton *,Florida State,ACC,,22,10,0.688,,,Lost First Round,,2002-03,153,106,0.591,2.0,,,,,353,316,0.528,5.0,1.0,,
Eugene Harris,Florida A&M,MEAC,,9,22,0.29,,,,,2007-08,34,60,0.362,,,,,,34,60,0.362,,,,
Tony Harvey,Texas Southern,SWAC,,17,16,0.515,,,,,2008-09,24,41,0.369,,,,,,24,41,0.369,,,,
Steve Hawkins,Western Michigan,MAC,,18,15,0.545,,,,,2003-04,124,99,0.556,1.0,,,,,124,99,0.556,1.0,,,
Stan Heath,South Florida,Big East,,20,13,0.606,,,,,2007-08,41,54,0.432,,,,,,153,131,0.539,3.0,1.0,,
Bill Herrion,New Hampshire,AEC,,13,17,0.433,,,,,2005-06,58,90,0.392,,,,,,295,259,0.532,3.0,,,
Paul Hewitt,Georgia Tech,ACC,,23,13,0.639,22.0,,Lost Second Round,,2000-01,177,144,0.551,5.0,1.0,1.0,,,243,171,0.587,6.0,1.0,1.0,
Fred Hill Jr,Rutgers,Big East,,15,17,0.469,,,,,2006-07,47,77,0.379,,,,,,47,77,0.379,,,,
Karl Hobbs,George Washington,A-10,,16,15,0.516,,,,,2001-02,149,115,0.564,3.0,,,,,149,115,0.564,3.0,,,
Bob Hoffman,Mercer,A-Sun,,16,17,0.485,,,,,2008-09,33,32,0.508,,,,,,101,109,0.481,,,,
Darrin Horn,South Carolina,SEC,,15,16,0.484,,,,,2008-09,36,26,0.581,,,,,,147,74,0.665,1.0,1.0,,
Ben Howland,UCLA,Pac-10,,14,18,0.438,,,,,2003-04,166,72,0.697,5.0,3.0,3.0,,,332,173,0.657,8.0,5.0,3.0,
Bob Huggins,West Virginia,Big East,,31,7,0.816,8.0,6.0,Lost National Semifinal,,2007-08,80,30,0.727,3.0,2.0,1.0,,,598,216,0.735,18.0,6.0,2.0,
Dick Hunsaker,Utah Valley,GWC,,12,18,0.4,,,,,2004-05,98,75,0.566,,,,,,213,121,0.638,2.0,1.0,,
Larry Hunter,Western Carolina,Southern,,22,12,0.647,,,,,2005-06,72,85,0.459,,,,,,276,233,0.542,1.0,,,
Ron Hunter,IUPUI,Summit,,25,11,0.694,,,,,1998-99,202,165,0.55,1.0,,,,,202,165,0.55,1.0,,,
Brad Huse,Montana State,Big Sky,,15,14,0.517,,,,,2006-07,55,65,0.458,,,,,,55,65,0.458,,,,
Tony Ingle,Kennesaw State,A-Sun,,13,20,0.394,,,,,2005-06,55,97,0.362,,,,,,55,116,0.322,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,18,16,0.529,,,Lost First Round,,2008-09,31,34,0.477,1.0,,,,,31,34,0.477,1.0,,,
Tom Izzo,Michigan State,Big Ten,,28,9,0.757,2.0,13.0,Lost National Semifinal,,1995-96,364,146,0.714,13.0,9.0,6.0,1.0,,364,146,0.714,13.0,9.0,6.0,1.0
Gil Jackson,Howard,MEAC,,7,25,0.219,,,,,2005-06,37,118,0.239,,,,,,37,118,0.239,,,,
Greg Jackson,Delaware State,MEAC,,17,12,0.586,,,,,2000-01,157,148,0.515,1.0,,,,,157,148,0.515,1.0,,,
Jeff Jackson,Furman,Southern,,13,17,0.433,,,,,2006-07,41,80,0.339,,,,,,62,140,0.307,,,,
Lewis Jackson,Alabama State,SWAC,,16,15,0.516,,,,,2005-06,80,74,0.519,1.0,,,,,80,74,0.519,1.0,,,
Ben Jacobson,Northern Iowa,MVC,,30,5,0.857,,,Lost Regional Semifinal,,2006-07,89,43,0.674,2.0,1.0,,,,89,43,0.674,2.0,1.0,,
Jason James,Tennessee-Martin,OVC,,4,25,0.138,,,,,2009-10,4,25,0.138,,,,,,4,25,0.138,,,,
Tim Jankovich,Illinois State,MVC,,22,11,0.667,,,,,2007-08,71,31,0.696,,,,,,124,88,0.585,,,,
Mike Jarvis,Florida Atlantic,Sun Belt,,14,16,0.467,,,,,2008-09,20,42,0.323,,,,,,383,244,0.611,9.0,2.0,,
Rob Jeter,Milwaukee,Horizon,,20,14,0.588,,,,,2005-06,82,75,0.522,1.0,,,,,82,75,0.522,1.0,,,
Sydney Johnson,Princeton,Ivy,,22,9,0.71,,,,,2007-08,41,46,0.471,,,,,,41,46,0.471,,,,
Trent Johnson,Louisiana State,SEC,,11,20,0.355,,,,,2008-09,38,28,0.576,1.0,,,,,197,150,0.568,5.0,2.0,,
Brian Jones,North Dakota,GWC,,8,23,0.258,,,,,2009-10,8,23,0.258,,,,,,8,23,0.258,,,,
Donnie Jones,Marshall,CUSA,,24,10,0.706,,,,,2007-08,55,41,0.573,,,,,,55,41,0.573,,,,
James Jones,Yale,Ivy,,12,19,0.387,,,,,1999-00,142,168,0.458,,,,,,142,168,0.458,,,,
Jeff Jones,American,Patriot,,11,20,0.355,,,,,2000-01,159,142,0.528,2.0,,,,,305,246,0.554,7.0,2.0,,
Joe Jones,Columbia,Ivy,,11,17,0.393,,,,,2003-04,86,108,0.443,,,,,,86,108,0.443,,,,
Johnny Jones,North Texas,Sun Belt,,24,9,0.727,,,Lost First Round,,2001-02,150,121,0.554,2.0,,,,,165,137,0.546,2.0,,,
Edward Joyner Jr,Hampton,MEAC,,14,18,0.438,,,,,2009-10,14,18,0.438,,,,,,14,18,0.438,,,,
Greg Kampe,Oakland,Summit,,26,9,0.743,,,Lost First Round,,1999-00,181,161,0.529,2.0,,,,,181,161,0.529,2.0,,,
Danny Kaspar,Stephen F. Austin,Southland,,23,9,0.719,,,,,2000-01,181,113,0.616,1.0,,,,,181,113,0.616,1.0,,,
Brian Katz,Sacramento State,Big Sky,,9,21,0.3,,,,,2008-09,11,48,0.186,,,,,,11,48,0.186,,,,
Sean Kearney,Holy Cross,Patriot,,9,22,0.29,,,,,2009-10,9,22,0.29,,,,,,9,22,0.29,,,,
Kerry Keating,Santa Clara,WCC,,11,21,0.344,,,,,2007-08,42,54,0.438,,,,,,42,54,0.438,,,,
Derek Kellogg,Massachusetts,A-10,,12,20,0.375,,,,,2008-09,24,38,0.387,,,,,,24,38,0.387,,,,
Andy Kennedy,Mississippi,SEC,,24,11,0.686,,,,,2006-07,85,50,0.63,,,,,,106,63,0.627,,,,
Billy Kennedy,Murray State,OVC,,31,5,0.861,,,Lost Second Round,,2006-07,84,44,0.656,1.0,,,,,188,170,0.525,2.0,,,
Pat Kennedy,Towson,CAA,,10,21,0.323,,,,,2004-05,67,118,0.362,,,,,,483,429,0.53,8.0,2.0,,
Ernie Kent,Oregon,Pac-10,,16,16,0.5,,,,,1997-98,235,173,0.576,5.0,2.0,,,,325,253,0.562,6.0,2.0,,
Pat Knight,Texas Tech,Big 12,,19,16,0.543,,,,,2007-08,37,42,0.468,,,,,,37,42,0.468,,,,
Tod Kowalczyk,Green Bay,Horizon,,22,13,0.629,,,,,2002-03,136,112,0.548,,,,,,136,112,0.548,,,,
Lon Kruger,Nevada-Las Vegas,MWC,,25,9,0.735,,,Lost First Round,,2004-05,137,62,0.688,3.0,1.0,,,,455,295,0.607,12.0,3.0,1.0,
Mike Krzyzewski,Duke,ACC,,35,5,0.875,9.0,3.0,Won National Final,,1980-81,795,220,0.783,26.0,19.0,11.0,4.0,,868,279,0.757,26.0,19.0,11.0,4.0
Robbie Laing,Campbell,A-Sun,,19,11,0.633,,,,,2003-04,72,131,0.355,,,,,,72,131,0.355,,,,
Billy Lange,Navy,Patriot,,13,17,0.433,,,,,2004-05,81,95,0.46,,,,,,81,95,0.46,,,,
Jim Larranaga,George Mason,CAA,,17,15,0.531,,,,,1997-98,246,157,0.61,4.0,1.0,1.0,,,415,302,0.579,4.0,1.0,1.0,
Dale Layer,Liberty,Big South,,15,16,0.484,,,,,2009-10,15,16,0.484,,,,,,118,122,0.492,1.0,,,
Jeff Lebo,Auburn,SEC,,15,17,0.469,,,,,2004-05,96,93,0.508,,,,,,211,156,0.575,,,,
Brooks Lee,UNC Wilmington,CAA,,2,8,0.2,,,,,2009-10,2,8,0.2,,,,,,2,8,0.2,,,,
Robert Lee,Louisiana,Sun Belt,,13,17,0.433,,,,,2004-05,80,100,0.444,1.0,,,,,80,100,0.444,1.0,,,
Dan Leibovitz,Hartford,AEC,,8,22,0.267,,,,,2006-07,46,82,0.359,,,,,,46,82,0.359,,,,
Jim Les,Bradley,MVC,,16,15,0.516,,,,,2002-03,142,120,0.542,1.0,1.0,,,,142,120,0.542,1.0,1.0,,
Todd Lickliter,Iowa,Big Ten,,10,22,0.312,,,,,2007-08,38,58,0.396,,,,,,169,119,0.587,2.0,2.0,,
Mike Lonergan,Vermont,AEC,,25,10,0.714,,,Lost First Round,,2005-06,103,59,0.636,1.0,,,,,103,59,0.636,1.0,,,
Dave Loos,Austin Peay,OVC,,17,15,0.531,,,,,1990-91,331,276,0.545,3.0,,,,,331,276,0.545,3.0,,,
Sidney Lowe,NC State,ACC,,20,16,0.556,,,,,2006-07,71,62,0.534,,,,,,71,62,0.534,,,,
Chris Lowery,Southern Illinois,MVC,,15,15,0.5,,,,,2004-05,124,74,0.626,3.0,1.0,,,,124,74,0.626,3.0,1.0,,
Bobby Lutz,Charlotte,A-10,,19,12,0.613,,,,,1998-99,218,158,0.58,5.0,,,,,218,158,0.58,5.0,,,
Chris Mack,Xavier,A-10,,26,9,0.743,,25.0,Lost Regional Semifinal,,2009-10,26,9,0.743,1.0,1.0,,,,26,9,0.743,1.0,1.0,,
Mark Macon,Binghamton,AEC,,13,18,0.419,,,,,2009-10,13,18,0.419,,,,,,13,18,0.419,,,,
Don Maestri,Troy,Sun Belt,,20,13,0.606,,,,,1993-94,261,236,0.525,1.0,,,,,261,236,0.525,1.0,,,
